,Small-Low,Small-High,Big-Low,Big-High,Market,Rf
197010,-6.7082,-4.0544,-0.6637,-2.8685,-1.82,0.46
197011,0.5113,2.6207,5.093,6.3668,5.06,0.46
197012,7.7683,9.3216,5.3845,5.8366,6.14,0.42
197101,10.4614,12.5174,4.6644,5.2684,5.22,0.38
197102,4.5227,2.3794,2.3764,2.0632,1.74,0.33
197103,8.9358,4.8168,5.8231,2.0489,4.43,0.3
197104,3.0747,3.2397,3.9165,5.1225,3.43,0.28
197105,-4.0241,-5.101,-2.7531,-4.5471,-3.69,0.29
197106,0.2361,-2.2472,1.1456,-0.1057,0.27,0.37
197107,-6.6487,-5.8546,-4.12,-4.8713,-4.1,0.4
197108,4.3212,6.5584,5.4943,8.5176,4.26,0.47
197109,0.9006,-2.0224,0.3621,-2.5391,-0.48,0.37
197110,-5.9435,-6.5569,-3.903,-4.2427,-4.05,0.37
197111,-2.9587,-4.0116,0.8546,-1.4552,-0.09,0.37
197112,13.4551,12.1094,8.9589,9.5107,9.08,0.37
197201,8.4904,10.4402,2.6593,5.1822,2.78,0.29
197202,4.6709,2.6495,4.5391,0.9714,3.12,0.25
197203,1.5779,-0.3992,2.1897,0.9517,0.9,0.27
197204,0.57,0.5068,0.7895,1.0984,0.58,0.29
197205,-1.7869,-2.6628,2.9429,-1.5729,1.55,0.3
197206,-3.4413,-3.1362,-1.069,-6.3332,-2.14,0.29
197207,-5.0804,-2.0216,0.5997,-1.1332,-0.49,0.31
197208,-0.7688,2.5455,1.4867,7.2568,3.55,0.29
197209,-3.3998,-3.1707,-0.4838,0.2109,-0.8,0.34
197210,-2.5724,-1.0162,0.5178,1.6455,0.92,0.4
197211,3.3834,6.3656,2.9687,9.6877,4.97,0.37
197212,-1.1684,-2.3004,2.6574,-0.5868,0.99,0.37
197301,-7.8787,-3.6856,-2.6064,-1.4416,-2.85,0.44
197302,-10.9375,-5.8766,-3.0484,-4.9156,-4.44,0.41
197303,-3.99,-1.2382,-1.2331,1.2628,-0.84,0.46
197304,-11.1364,-4.9955,-6.0701,-1.3817,-5.16,0.52
197305,-10.6173,-7.3584,-0.8841,-3.3242,-2.43,0.51
197306,-5.079,-2.6949,-0.8934,-0.8809,-1.06,0.51
197307,18.2569,9.0944,6.4208,4.9684,5.69,0.64
197308,-3.8969,-4.0378,-3.2396,-0.6193,-3.12,0.7
197309,10.9147,8.5459,2.2473,8.6341,5.43,0.68
197310,-2.3992,0.8485,-0.1351,0.4996,-0.18,0.65
197311,-22.6489,-16.228,-12.4865,-11.1645,-12.19,0.56
197312,-2.3418,-1.4183,-1.1773,5.5955,1.25,0.64
197401,7.5298,13.8461,-1.0406,4.6894,0.46,0.63
197402,0.0167,1.8631,-1.0556,2.7251,0.11,0.58
197403,-0.369,0.4842,-1.7118,-3.2064,-2.25,0.56
197404,-6.2809,-3.6342,-3.4024,-4.3396,-4.54,0.75
197405,-7.0049,-6.8701,-1.8453,-6.0298,-3.93,0.75
197406,-3.2122,-1.1188,-2.0779,-2.6309,-2.23,0.6
197407,-6.7549,-2.9998,-9.3475,-2.7774,-7.35,0.7
197408,-9.6682,-7.3539,-10.0804,-7.1175,-8.75,0.6
197409,-11.8584,-7.3086,-13.7822,-7.1654,-10.96,0.81
197410,14.4237,8.0211,21.2435,7.8997,16.61,0.51
197411,-5.1519,-5.5397,-3.9602,-3.9793,-3.97,0.54
197412,-7.2362,-7.6673,-3.292,-2.6375,-2.75,0.7
197501,24.8048,30.6945,10.6122,21.2771,14.24,0.58
197502,6.6106,3.782,8.1765,2.1213,5.99,0.43
