PERMNO,date,TICKER,COMNAM,PRC,RET,sprtrn
14593,19920529,AAPL,APPLE COMPUTER INC,59.75,-0.006237,0.000964
14593,19920630,AAPL,APPLE COMPUTER INC,48,-0.194644,-0.017359
14593,19920731,AAPL,APPLE COMPUTER INC,46.75,-0.026042,0.039374
14593,19920831,AAPL,APPLE COMPUTER INC,46,-0.013476,-0.023998
14593,19920930,AAPL,APPLE COMPUTER INC,45.125,-0.019022,0.009106
14593,19921030,AAPL,APPLE COMPUTER INC,52.5,0.163435,0.002106
14593,19921130,AAPL,APPLE COMPUTER INC,57.5,0.097524,0.030262
14593,19921231,AAPL,APPLE COMPUTER INC,59.75,0.03913,0.010108
14593,19930129,AAPL,APPLE COMPUTER INC,59.5,-0.004184,0.007046
14593,19930226,AAPL,APPLE COMPUTER INC,53,-0.107227,0.010484
14593,19930331,AAPL,APPLE COMPUTER INC,51.5,-0.028302,0.018697
14593,19930430,AAPL,APPLE COMPUTER INC,51.25,-0.004854,-0.025417
14593,19930528,AAPL,APPLE COMPUTER INC,56.625,0.10722,0.022717
14593,19930630,AAPL,APPLE COMPUTER INC,39.5,-0.302428,0.000755
14593,19930730,AAPL,APPLE COMPUTER INC,27.75,-0.297468,-0.005327
14593,19930831,AAPL,APPLE COMPUTER INC,26.5,-0.040721,0.034432
14593,19930930,AAPL,APPLE COMPUTER INC,23.375,-0.117925,-0.009988
14593,19931029,AAPL,APPLE COMPUTER INC,30.75,0.315508,0.019393
14593,19931130,AAPL,APPLE COMPUTER INC,31.5,0.028293,-0.012911
14593,19931231,AAPL,APPLE COMPUTER INC,29.25,-0.071429,0.010091
14593,19940131,AAPL,APPLE COMPUTER INC,32.75,0.119658,0.032501
14593,19940228,AAPL,APPLE COMPUTER INC,36.5,0.118168,-0.030045
14593,19940331,AAPL,APPLE COMPUTER INC,33.25,-0.089041,-0.045746
14593,19940429,AAPL,APPLE COMPUTER INC,30,-0.097744,0.011531
14593,19940531,AAPL,APPLE COMPUTER INC,29.25,-0.021,0.012419
14593,19940630,AAPL,APPLE COMPUTER INC,26.5,-0.094017,-0.026812
14593,19940729,AAPL,APPLE COMPUTER INC,33.6875,0.271226,0.031467
14593,19940831,AAPL,APPLE COMPUTER INC,36.1875,0.077774,0.037643
14593,19940930,AAPL,APPLE COMPUTER INC,33.6875,-0.069085,-0.026898
14593,19941031,AAPL,APPLE COMPUTER INC,43.1875,0.282004,0.020834
14593,19941130,AAPL,APPLE COMPUTER INC,37.25,-0.134703,-0.039505
14593,19941230,AAPL,APPLE COMPUTER INC,39,0.04698,0.012299
14593,19950131,AAPL,APPLE COMPUTER INC,40.375,0.035256,0.024278
14593,19950228,AAPL,APPLE COMPUTER INC,39.5,-0.0187,0.036074
14593,19950331,AAPL,APPLE COMPUTER INC,35.25,-0.107595,0.027329
14593,19950428,AAPL,APPLE COMPUTER INC,38.25,0.085106,0.02796
14593,19950531,AAPL,APPLE COMPUTER INC,41.5625,0.089739,0.036312
14593,19950630,AAPL,APPLE COMPUTER INC,46.4375,0.117293,0.021279
14593,19950731,AAPL,APPLE COMPUTER INC,45,-0.030956,0.031776
14593,19950831,AAPL,APPLE COMPUTER INC,43,-0.041778,-0.00032
14593,19950929,AAPL,APPLE COMPUTER INC,37.25,-0.133721,0.040098
14593,19951031,AAPL,APPLE COMPUTER INC,36.3125,-0.025168,-0.004979
14593,19951130,AAPL,APPLE COMPUTER INC,38.125,0.053219,0.041049
14593,19951229,AAPL,APPLE COMPUTER INC,31.875,-0.163934,0.017444
14593,19960131,AAPL,APPLE COMPUTER INC,27.625,-0.133333,0.032617
14593,19960229,AAPL,APPLE COMPUTER INC,27.5,-0.004525,0.006934
14593,19960329,AAPL,APPLE COMPUTER INC,24.5625,-0.106818,0.007917
14593,19960430,AAPL,APPLE COMPUTER INC,24.375,-0.007634,0.013431
14593,19960531,AAPL,APPLE COMPUTER INC,26.125,0.071795,0.022853
14593,19960628,AAPL,APPLE COMPUTER INC,21,-0.196172,0.002257
14593,19960731,AAPL,APPLE COMPUTER INC,22,0.047619,-0.045748
14593,19960830,AAPL,APPLE COMPUTER INC,24.25,0.102273,0.018814
14593,19960930,AAPL,APPLE COMPUTER INC,22.1875,-0.085052,0.054173
14593,19961031,AAPL,APPLE COMPUTER INC,23,0.03662,0.026131
14593,19961129,AAPL,APPLE COMPUTER INC,24.125,0.048913,0.073376
14593,19961231,AAPL,APPLE COMPUTER INC,20.875,-0.134715,-0.021505
14593,19970131,AAPL,APPLE COMPUTER INC,16.625,-0.203593,0.061317
14593,19970228,AAPL,APPLE COMPUTER INC,16.25,-0.022556,0.005928
14593,19970331,AAPL,APPLE COMPUTER INC,18.25,0.123077,-0.042614
14593,19970430,AAPL,APPLE COMPUTER INC,17,-0.068493,0.058406
14593,19970530,AAPL,APPLE COMPUTER INC,16.625,-0.022059,0.058577
14593,19970630,AAPL,APPLE COMPUTER INC,14.25,-0.142857,0.043453
14593,19970731,AAPL,APPLE COMPUTER INC,17.5,0.22807,0.078123
14593,19970829,AAPL,APPLE COMPUTER INC,21.75,0.242857,-0.057446
14593,19970930,AAPL,APPLE COMPUTER INC,21.6875,-0.002874,0.053154
14593,19971031,AAPL,APPLE COMPUTER INC,17.03125,-0.214697,-0.034478
14593,19971128,AAPL,APPLE COMPUTER INC,17.75,0.042202,0.044587
14593,19971231,AAPL,APPLE COMPUTER INC,13.125,-0.260563,0.015732
14593,19980130,AAPL,APPLE COMPUTER INC,18.3125,0.395238,0.01015
14593,19980227,AAPL,APPLE COMPUTER INC,23.625,0.290102,0.070449
14593,19980331,AAPL,APPLE COMPUTER INC,27.5,0.164021,0.049946
14593,19980430,AAPL,APPLE COMPUTER INC,27.375,-0.004545,0.009076
14593,19980529,AAPL,APPLE COMPUTER INC,26.625,-0.027397,-0.018826
14593,19980630,AAPL,APPLE COMPUTER INC,28.6875,0.077465,0.039438
14593,19980731,AAPL,APPLE COMPUTER INC,34.625,0.206972,-0.011615
14593,19980831,AAPL,APPLE COMPUTER INC,31.1875,-0.099278,-0.145797
14593,19980930,AAPL,APPLE COMPUTER INC,38.125,0.222445,0.062396
14593,19981030,AAPL,APPLE COMPUTER INC,37.125,-0.02623,0.080294
14593,19981130,AAPL,APPLE COMPUTER INC,31.9375,-0.139731,0.059126
14593,19981231,AAPL,APPLE COMPUTER INC,40.9375,0.2818,0.056375
14593,19990129,AAPL,APPLE COMPUTER INC,41.1875,0.006107,0.041009
14593,19990226,AAPL,APPLE COMPUTER INC,34.8125,-0.15478,-0.032283
14593,19990331,AAPL,APPLE COMPUTER INC,35.9375,0.032316,0.038794
